"canonical_id","canonical_name","detloc","facility_address","facility_city","facility_state","facility_zip","facility_type_detailed","facility_type_wiki","id_range","type_detailed_corrected","type_grouped_corrected"
222,"Lubbock County Detention Center","LUBBOTX","811 Main Street","Lubbock","TX","79401","USMS IGA","Jail","panel","USMS IGA","Federal"
223,"Madison County Jail","MADISMS","2935 Highway 51","Canton","MS","39046","USMS IGA","Jail","panel","IGSA","Non-Dedicated"
224,"Mahoning County Jail","MAHONOH","110 Fifth Avenue","Youngstown","OH","44503","USMS IGA","Jail","panel","IGSA","Non-Dedicated"
225,"Folkston Main IPC","FIPCMGA","3026 Hwy 252 East","Folkston","GA","31537","DIGSA","Dedicated Migrant Detention Center","panel","DIGSA","Dedicated"
226,"Marion County Jail","MARIOIN","695 Justice Way","Indianapolis","IN","46203","USMS IGA","Jail","panel","USMS IGA","Federal"
227,"Marshall County Jail","MARSHIA","2369 Jessup Avenue","Marshalltown","IA","50158","USMS IGA","Jail","panel","USMS IGA","Federal"
228,"Martin County Jail","MARTIFL","800 Southeast Monterey Road","Stuart","FL","34994","USMS IGA","Jail","panel","IGSA","Non-Dedicated"
229,"Mccook Detention Center",NA,"2309 N Highway 83","McCook","NE","69001","DIGSA","Dedicated Migrant Detention Center","panel",NA,NA
230,"Mchenry County Correctional Facility","MCHENIL","2200 North Seminary Avenue","Woodstock","IL","60098","USMS IGA","Jail","panel","USMS IGA","Federal"
231,"Mesa Verde ICE Processing Center","CACFMES","425 Golden State Ave","Bakersfield","CA","93301","CDF","Private Migrant Detention Center","panel","CDF","Dedicated"
232,"Miami Correctional Center","INMIAMI","3038 West 850 South P.o. Box 900","Bunker Hill","IN","46914","IGSA","Jail","panel","IGSA","Non-Dedicated"
233,"Miami Federal Detention","BOPMIM","33 NE 4 Street","Miami","FL","33132","BOP","Federal Prison","panel","BOP","Federal"
234,"Miami Staging Facility","MSF","Unavailable","Miami","FL","33101","STAGING","ICE Staging Facility","panel","Hold","Hold/Staging"
235,"Midland County Detention Center","MIDLATX","400 S Main Street","Midland","TX","79701","USMS IGA","Jail","panel","USMS IGA","Federal"
236,"Miller County Jail","MILLRAR","2300 East Street","Texarkana","AR","71854","USMS IGA","Jail","panel","USMS IGA","Federal"
237,"Minicassia Detention Center","MINICID","1415 Albion Avenue","Burley","ID","83318","USMS IGA","Jail","panel","IGSA","Non-Dedicated"
238,"Minnehaha County Jail","MINNESD","500 North Minnesota Avenue","Sioux Falls","SD","57104","USMS IGA","Jail","panel","USMS IGA","Federal"
239,"Monroe County Detention Center","MONROFL","5501 College Road","Key West","FL","33040","IGSA","Jail","panel","IGSA","Non-Dedicated"
240,"Monroe County Detention-Dorm","MONROMI","7000 East Dunbar Road","Monroe","MI","48161","IGSA","Jail","panel","IGSA","Non-Dedicated"
241,"Montgomery City Jail","MNTGMAL","320 North Ripley Street","Montgomery","AL","36104","IGSA","Jail","panel","IGSA","Non-Dedicated"
242,"Montgomery County Jail","MONTGNY","Park Street","Fonda","NY","12068","IGSA","Jail","panel","IGSA","Non-Dedicated"
243,"Montgomery County Jail","MONTGMO","211 East Third Street","Montgomery City","MO","63361","IGSA","Jail","panel","IGSA","Non-Dedicated"
244,"Montgomery ICE Processing Center","MTGPCTX","806 Hilbig Rd","Conroe","TX","77301","CDF","Private Migrant Detention Center","panel","CDF","Dedicated"
245,"Morgan County Adult Detention Center","MORGNMO","211 East Newton Street","Versailles","MO","65084","IGSA","Jail","panel","IGSA","Non-Dedicated"
246,"Morrow County Correctional Facility","MOROWOH","101 Home Road","Mount Gilead","OH","43338","IGSA","Jail","panel","IGSA","Non-Dedicated"
248,"Moshannon Valley Processing Center","MSVPCPA","555 Geo Drive","Philipsburg","PA","16866","DIGSA","Dedicated Migrant Detention Center","panel","DIGSA","Dedicated"
249,"Muscatine County Jail","MUSCAIA","400 Walnut Street","Muscatine","IA","52761","USMS IGA","Jail","panel","USMS IGA","Federal"
250,"Nassau County Correctional Center","NASSANY","100 Carman Avenue","East Meadow","NY","11554","USMS IGA","Jail","panel","IGSA","Non-Dedicated"
251,"Natchitoches Parish Detention. Center","NATCHLA","299 Edwina Dr.","Natchitoches","LA","71457","USMS IGA","Jail","panel","USMS IGA","Federal"
252,"Natrona County Jail","NATROWY","1100 Bruce Lane","Casper","WY","82601","USMS IGA","Jail","panel","USMS IGA","Federal"
253,"Nelson Coleman Correction","NLSCOLA","5061 Highway 3127","Killona","LA","70057","USMS IGA","Jail","panel","USMS IGA","Federal"
254,"Nevada Southern Detention Center","NVSDCNV","2190 East Mesquite Avenue","Pahrump","NV","89060","USMS CDF","Private Migrant Detention Center","panel","USMS IGA","Federal"
255,"New Hanover County Jail","NWHNVNC","3950 Juvenile Rd","Castle Hayne","NC","28429","USMS IGA","Jail","panel","IGSA","Non-Dedicated"
256,"Niagara County Jail","NIAGANY","5526 Niagara Street Extention","Lockport","NY","14094","USMS IGA","Jail","panel","IGSA","Non-Dedicated"
257,"Nobles County Jail","NOBLEMN","1530 Airport Road","Worthington","MN","56187","IGSA","Jail","panel","IGSA","Non-Dedicated"
258,"North Central Regional Jail",NA,"#1 Lois Lane","Greenwood","WV","26415","IGSA","Jail","panel",NA,NA
260,"North Lake Correctional Facility","NRLKCMI","1805 W 32nd St","Baldwin","MI","49304","CDF","Private Migrant Detention Center","panel","CDF","Dedicated"
262,"Northeast Ohio Correctional Center","CCANOOH","2240 Hubbard Road","Youngstown","OH","44505","USMS IGA","Jail","panel","CDF","Dedicated"
263,"Northern Oregon Correctional Facility","NORCOOR","211 Webber Road","The Dalles","OR","97058","IGSA","Jail","panel","IGSA","Non-Dedicated"
264,"Northern Oregon Juvenile Detention","NOJUVOR","211 Webber Street","The Dalles","OR","97058","JUVENILE","Juvenile Detention Center","panel","Juvenile","Family/Youth"
265,"Northern Regional Jail","WVNORTH","Rd. 2, Box 1","Moundsville","WV","26041","IGSA","Jail","panel","USMS IGA","Federal"
268,"Northwest Regional Corrections Center","NWRCCMN","816 Marin Ave., Suite 110","Crookston","MN","56716","USMS IGA","Jail","panel","USMS IGA","Federal"
269,"Northwest State Correctional Center","VTSTALB","3649 Lower Newton Road","Swanton","VT","05488","USMS IGA","Jail","panel","USMS IGA","Federal"
271,"Nye County Detention Center (Nevada)","NYEPANV","1520 E. Basin Road","Pahrump","NV","89060","IGSA","Jail","panel","IGSA","Non-Dedicated"
272,"Ogle County Jail","OGLECIL","103 Jefferson Street","Oregon","IL","61061","USMS IGA","Jail","panel","USMS IGA","Federal"
273,"Okmulgee County Jail","OKMULOK","314 W. 7th Street","Okmulgee","OK","74447","IGSA","Jail","panel","IGSA","Non-Dedicated"
274,"Oldham County Detention Center","OLDHAKY","3405 W Hwy 146","La Grange","KY","40031","USMS IGA","Jail","panel","USMS IGA","Federal"
275,"Oldham County Jail",NA,"100 W Main Street","La Grange","KY","40031","USMS IGA","Jail","panel",NA,NA
278,"Orange County Jail (Florida)","ORANGFL","3855 South John Young Parkway","Orlando","FL","32839","USMS IGA","Jail","panel","USMS IGA","Federal"
279,"Orange County Jail (New York)","ORANGNY","110 Wells Farm Road","Goshen","NY","10924","IGSA","Jail","panel","IGSA","Non-Dedicated"
281,"Otay Mesa Detention Center","CCASDCA","7488 Calzada De La Fuente","San Diego","CA","92154","CDF","Private Migrant Detention Center","panel","CDF","Dedicated"
282,"Otero County Detention","OTERONM","1958 Dr M.L.K. Jr. Dr","Alamogordo","NM","88310","USMS IGA","Jail","panel","IGSA","Non-Dedicated"
283,"Otero County Processing Center","OTRPCNM","26 Mcgregor Range Road","Chaparral","NM","88081","DIGSA","Dedicated Migrant Detention Center","panel","DIGSA","Dedicated"
284,"Ozark County Sheriff's Office","OZARKMO","1818 County Road 806","Gainesville","MO","65655","IGSA","Jail","panel","IGSA","Non-Dedicated"
285,"Pennington County Jail (South Dakota)","PENNISD","300 Kansas City Street None","Rapid City","SD","57701","USMS IGA","Jail","panel","USMS IGA","Federal"
287,"Phelps County Jail (Missouri)","PHELPMO","301 W. 2nd","Rolla","MO","65401","USMS IGA","Jail","panel","USMS IGA","Federal"
288,"Phelps County Jail (Nebraska)","PHELPNE","715 5th Avenue","Holdrege","NE","68949","USMS IGA","Jail","panel","USMS IGA","Federal"
289,"Pickens County Detention Center","PCKNSAL","188 Cemetery St","Carrollton","AL","35447","IGSA","Jail","panel","IGSA","Non-Dedicated"
291,"Pike County Jail","PIKCOPA","175 Pike County Boulevard","Lords Valley","PA","18428","IGSA","Jail","panel","IGSA","Non-Dedicated"
292,"Pine Prairie ICE Processing Center","PINEPLA","1133 Hampton Dupre Road","Pine Prairie","LA","70576","DIGSA","Dedicated Migrant Detention Center","panel","DIGSA","Dedicated"
293,"Pinellas County Jail","PINELFL","14400 49th Street North","Clearwater","FL","33762","USMS IGA","Jail","panel","USMS IGA","Federal"
294,"Platte County Detention Center","PLATTMO","415 Third Street","Platte City","MO","64079","IGSA","Jail","panel","IGSA","Non-Dedicated"
295,"Platte County Jail","PLATTWY","850 Maple Street","Wheatland","WY","82201","USMS IGA","Jail","panel","USMS IGA","Federal"
296,"Plymouth County Correctional Facility","PLYMOMA","26 Long Pond Road","Plymouth","MA","02360","IGSA","Jail","panel","IGSA","Non-Dedicated"
297,"Polk County Jail","POLKJIA","1985 NE 51st Place","Des Moines","IA","50313","USMS IGA","Jail","panel","USMS IGA","Federal"
300,"Pottawattamie County Jail","POTTAIA","1400 Big Lake Road","Council Bluffs","IA","51501","USMS IGA","Jail","panel","USMS IGA","Federal"
302,"Prairieland Detention Center","PRLDCTX","1209 Sunflower Ln","Alvarado","TX","76009","DIGSA","Dedicated Migrant Detention Center","panel","DIGSA","Dedicated"
303,"Farmville Detention Center","FRMVLVA","508 Waterworks Road","Farmville","VA","23901","DIGSA","Dedicated Migrant Detention Center","panel","DIGSA","Dedicated"
304,"Pulaski County Jail","PULASIL","1026 Shawnee College Road","Ullin","IL","62992","IGSA","Jail","panel","IGSA","Non-Dedicated"
305,"Putnam County Sheriff","PUTNMTN","421 E Spring St.","Cookeville","TN","38501","USMS IGA","Jail","panel","USMS IGA","Federal"
306,"Randall County Jail","RNDLLTX","9100 South Georgia Street","Amarillo","TX","79118","USMS IGA","Jail","panel","USMS IGA","Federal"
307,"Red Roof Inn","RRFINWA","16838 International Blvd","Seatac","WA","98188","Other","Hotel","panel","Hotel","Hotel"
308,"Rensselaer County Correctional Facility","RENSSNY","4000 Main Street","Troy","NY","12180","USMS IGA","Jail","panel","USMS IGA","Federal"
310,"Richwood Correctional Center","RWCCMLA","180 Pine Bayou Circle","Monroe","LA","71202","IGSA","Jail","panel","DIGSA","Dedicated"
311,"Rio Grande County Jail","RIOGRCO","640 Cherry Street","Del Norte","CO","81132","IGSA","Jail","panel","IGSA","Non-Dedicated"
312,"Rio Grande Detention Center","RGRNDTX","1001 San Rio Boulevard","Laredo","TX","78046","USMS CDF","Private Migrant Detention Center","panel","USMS CDF","Federal"
313,"Port Isabel Detention Center","PIC","27991 Buena Vista Boulevard","Los Fresnos","TX","78566","SPC","ICE Migrant Detention Center","panel","SPC","Dedicated"
314,"River Correctional Center","RVRCCLA","26362 Highway 15","Ferriday","LA","71334","IGSA","Jail","panel","DIGSA","Dedicated"
315,"Riverside County Sheriff","RIVERCA","4095 Lemon Street","Riverside","CA","92225","IGSA","Jail","panel","IGSA","Non-Dedicated"
316,"Riverside Regional Jail","RSREGVA","1000 River Road","Hopewell","VA","23860","USMS IGA","Jail","panel","USMS IGA","Federal"
317,"Roanoke City Jail","RONKEVA","340 Campbell Avenue Southwest","Roanoke","VA","24016","USMS IGA","Jail","panel","USMS IGA","Federal"
318,"Robert A. Deyton Detention Center","RADDFGA","11866 Hastings Bridge Road P.o. Box 429","Lovejoy","GA","30250","USMS IGA","Jail","panel","USMS CDF","Federal"
320,"Rockingham County Jail","ROCKIVA","25 South Liberty Street","Harrisonburg","VA","22801","USMS IGA","Jail","panel","USMS IGA","Federal"
321,"Rolling Plains Detention Center","HASKLTX","118 County Road 206","Haskell","TX","79521","USMS IGA","Jail","panel","USMS IGA","Federal"
323,"Saint Tammany Parish Jail","STTAMLA","701 North Columbia Street","Covington","LA","70433","IGSA","Jail","panel","IGSA","Non-Dedicated"
324,"Saipan Department of Corrections (Susupe)","MPSIPAN","Vicente T. Seman Bldg, Civic Center","Saipan","MP","96950","USMS IGA","Jail","panel","USMS IGA","Federal"
325,"Saline County Jail","SALINNE","225 S. Main St.","Wilber","NE","68465","Other","Jail","panel","county_jail","Non-Dedicated"
326,"Salt Lake County Metro Jail","SLCHOLD","3415 South 900 West","Salt Lake City","UT","84119","USMS IGA","Jail","panel","Hold","Hold/Staging"
327,"San Diego District Staging","SNDHOLD","880 Front Street","San Diego","CA","92101","STAGING","ICE Staging Facility","panel","Hold","Hold/Staging"
328,"San Juan Staging","SJS","651 Federal Drive, Suite 104","Guaynabo","PR","00965","STAGING","ICE Staging Facility","panel","Staging","Hold/Staging"
329,"San Luis Regional Detention Center","SLRDCAZ","406 North Avenue D","San Luis","AZ","85349","IGSA","Jail","panel","IGSA","Non-Dedicated"
330,"Sarpy County Jail","SARPYNE","1208 Golden Gate Drive","Papillion","NE","68046","USMS IGA","Jail","panel","IGSA","Non-Dedicated"
331,"Sauk County Sheriff","SAUKCWI","1300 Lange Ct.","Baraboo","WI","53913","USMS IGA","Jail","panel","USMS IGA","Federal"
332,"Sebastian County Detention Center","SEBASAR","801 South A Street","Fort Smith","AR","72901","USMS IGA","Jail","panel","USMS IGA","Federal"
333,"Seneca County Jail","SENECOH","3040 South State Highway 100","Tiffin","OH","44883","IGSA","Jail","panel","IGSA","Non-Dedicated"
334,"Shawnee County Department of Corrections","SHACOKS","501 Southeast 8th Avenue","Topeka","KS","66607","IGSA","Jail","panel","IGSA","Non-Dedicated"
335,"Sherburne County Jail","SHERBMN","13880 Business Center Drive","Elk River","MN","55330","USMS IGA","Jail","panel","IGSA","Non-Dedicated"
336,"Sioux County Jail","SIOUXIA","4363 Ironwood Avenue","Orange City","IA","51041","USMS IGA","Jail","panel","USMS IGA","Federal"
337,"South Central Regional Jail","WVSCENT","1001 Center Way","Charleston","WV","25309","IGSA","Jail","panel","USMS IGA","Federal"
339,"South Louisiana ICE Processing Center","BASILLA","3843 Stagg Avenue","Basile","LA","70515","DIGSA","Dedicated Migrant Detention Center","panel","DIGSA","Dedicated"
341,"South Texas Family Residential Center",NA,"300 El Rancho Way","Dilley","TX","78017","FAMILY","Family Detention Center","panel",NA,NA
343,"South Texas ICE Processing Center","STCDFTX","566 Veterans Drive","Pearsall","TX","78061","CDF","Private Migrant Detention Center","panel","CDF","Dedicated"
344,"Southern Regional",NA,"1200 Airport Rd","Beaver","WV","25813","IGSA","Jail","panel",NA,NA
345,"Southwestern Regional Jail",NA,"13 Gaston Caperton Dr.","Holden","WV","25625","IGSA","Jail","panel",NA,NA
346,"St. Clair County Jail","STCLAMI","1170 Michigan Road","Port Huron","MI","48060","IGSA","Jail","panel","IGSA","Non-Dedicated"
347,"Ste. Genevieve County Sheriff/Jail","STGENMO","5 Basler Dr.","Ste. Genevieve","MO","63670","USMS IGA","Jail","panel","USMS IGA","Federal"
348,"Stewart Detention Center","STWRTGA","146 Cca Road","Lumpkin","GA","31815","DIGSA","Dedicated Migrant Detention Center","panel","DIGSA","Dedicated"
349,"Story County Jail","STORYIA","1315 South B Avenue","Nevada","IA","50201","USMS IGA","Jail","panel","USMS IGA","Federal"
350,"Strafford County Corrections","STRAFNH","266 County Farm Road","Dover","NH","03820","IGSA","Jail","panel","IGSA","Non-Dedicated"
351,"Suffolk County House of Corrections","SUFFOMA","20 Bradston Street","Boston","MA","2118","IGSA","Jail","panel","IGSA","Non-Dedicated"
352,"Suites On Scottsdale-Casa De Alegría","ALESSAZ","9880 N. Scottsdale Rd.","Scottsdale","AZ","85253","FAMILY STAGING","Hotel","panel","Family Staging","Family/Youth"
353,"Sunny Glen Cld Home NDR Center",NA,"14091 Fm 490","Raymondville","TX","78580","Other","Juvenile Detention Center","panel",NA,NA
354,"Sweetwater County Jail","SWEETWY","50140 United States Highway 191 South","Rock Springs","WY","82935","USMS IGA","Jail","panel","USMS IGA","Federal"
356,"T. Don Hutto Detention Center","CCAHUTX","1001 Welch Street","Taylor","TX","76574","CDF","Private Migrant Detention Center","panel","DIGSA","Dedicated"
357,"Northwest ICE Processing Center","CSCNWWA","1623 E. J Street","Tacoma","WA","98421","CDF","Private Migrant Detention Center","panel","CDF","Dedicated"
358,"Tallahatchie County Correctional Facility","TALLAMS","415 U.s. Highway 49 North","Tutwiler","MS","38963","USMS IGA","Jail","panel","USMS IGA","Federal"
359,"Teller County Jail","TELLECO","288 Weaverville Road","Divide","CO","80814","IGSA","Jail","panel","IGSA","Non-Dedicated"
360,"Texas Health Huguley Hospital","THHHBTX","11801 South Fwy I-35w","Burleson","TX","76028","Other","Medical Facility","panel","Hospital","Medical"
361,"Theo Lacy Facility","TLACYCA","501 The City Drive South","Orange","CA","92868","IGSA","Jail","panel","IGSA","Non-Dedicated"
362,"Tooele County Jail","TOOELUT","47 South Main Street","Tooele","UT","84074","USMS IGA","Jail","panel","USMS IGA","Federal"
363,"Tornillo-Guadalupe POE",NA,"1400 Lower Island Rd","Tornillo","TX","79853","Other","ICE Short-Term Migrant Detention Center","panel",NA,NA
364,"Torrance County Detention Facility","TOORANM","209 County Road 49","Estancia","NM","87016","IGSA","Jail","panel","IGSA","Non-Dedicated"
365,"Trusted Adult Karnes FSC","TAKARTX","810 Commerce St","San Antonio","TX","78118","TAP-ICE","Family Detention Center","panel","TAP-ICE","Family/Youth"
366,"Dilley Immigration Processing Center","STFRCTX","300 El Rancho Way","Dilley","TX","78017","FAMILY","Family Detention Center","panel","Family","Family/Youth"
367,"Tulsa County Jail (David L. Moss Justice Center)","TULCOOK","300 North Denver Avenue","Tulsa","OK","74103","IGSA","Jail","panel","IGSA","Non-Dedicated"
368,"Turner Guilford Knight (TGK) Jail","TGKJLFL","7000 NW 41st St.","Miami","FL","33166","IGSA","Jail","panel","IGSA","Non-Dedicated"
369,"Two Bridges Regional Jail","TBRJLME","522 Bath Rd","Wiscasset","ME","04578","USMS IGA","Jail","panel","USMS IGA","Federal"
370,"Uinta County Jail","UINTAWY","77 County Road 109","Evanston","WY","82930","USMS IGA","Jail","panel","USMS IGA","Federal"
371,"Val Verde Correctional Facility","VALVETX","253 Farm To Market 2523","Del Rio","TX","78840","USMS IGA","Jail","panel","USMS IGA","Federal"
372,"Victoria County Jail","VICTOTX","101 North Glass Street","Victoria","TX","77901","USMS IGA","Jail","panel","IGSA","Non-Dedicated"
373,"Virginia Peninsula Regional Jail","VPREGVA","9320 Merrimac Trail","Williamsburg","VA","23185","USMS IGA","Jail","panel","USMS IGA","Federal"
374,"Wake County Sheriff Department","WAKECNC","330 South Salisbury Street","Raleigh","NC","27601","IGSA","Jail","panel","IGSA","Non-Dedicated"
375,"Wakulla County Jail","WAKULFL","15 Oak Street","Crawfordville","FL","32327","IGSA","Jail","panel","IGSA","Non-Dedicated"
376,"Walton County Jail","WLTSOFL","40 Sheriff Cir","Defuniak Springs","FL","32433","USMS IGA","Jail","panel","USMS IGA","Federal"
377,"Ward County Jail","WARDCND","P.o. Box 907","Minot","ND","58702","USMS IGA","Jail","panel","USMS IGA","Federal"
378,"Washington County Detention Center","WASHIAR","1155 West Clydesdale Drive","Fayetteville","AR","72701","USMS IGA","Jail","panel","USMS IGA","Federal"
380,"Washington County Jail (Purgatory Correctional Facility)","WASHCUT","750 South 5300 West","Hurricane","UT","84737","USMS IGA","Jail","panel","USMS IGA","Federal"
381,"Washoe County Jail","WASHONV","911 Parr Blvd 775 328 3308","Reno","NV","89506","USMS IGA","Jail","panel","USMS IGA","Federal"
382,"Waukesha County Jail","WAUKEWI","515 West Moreland","Waukesha","WI","53186","USMS IGA","Jail","panel","USMS IGA","Federal"
383,"Webb County Detention Center (CCA)","WEBDCTX","9998 South Highway 83","Laredo","TX","78041","DIGSA","Dedicated Migrant Detention Center","panel","DIGSA","Dedicated"
384,"Weber County Jail","WEBERUT","721 West 12th Street","Ogden","UT","84404","USMS IGA","Jail","panel","USMS IGA","Federal"
385,"West Texas Detention Facility","WTXDFTX","401 S. Vaquero Ave.","Sierra Blanca","TX","79851","USMS IGA","Jail","panel","USMS IGA","Federal"
386,"Western Regional Jail And Correctional Facility",NA,"1 O’hanlon Pl","Barboursville","WV","25504","IGSA","Jail","panel",NA,NA
387,"Western Tennessee Detention Facility","TNWESDF","6299 Finde Naifeh Drive","Mason","TN","38049","DIGSA","Dedicated Migrant Detention Center","panel","USMS CDF / USMS IGA","Federal"
388,"Western Virginia Regional Jail","WVIRGVA","5885 W River Rd","Salem","VA","24153","USMS IGA","Jail","panel","USMS IGA","Federal"
389,"Whitfield County Jail","WHITFGA","805 Professional Blvd","Dalton","GA","30720","IGSA","Jail","panel","IGSA","Non-Dedicated"
390,"Wingate-Wyndham Casa Esperanza","WINWYAZ","1760 S Sunridge Dr","Yuma","AZ","85365","FAMILY STAGING","Hotel","panel","Family Staging","Family/Youth"
391,"Winn Correctional Center","LAWINCI","180 Cca Blvd","Winnfield","LA","71483","DIGSA","Dedicated Migrant Detention Center","panel","DIGSA","Dedicated"
392,"Woodbury County Jail","WOODBIA","407 7th Street","Sioux City","IA","51101","USMS IGA","Jail","panel","IGSA","Non-Dedicated"
393,"Worcester County Jail","WORCEMD","5022 Joyner Road","Snow Hill","MD","21863","IGSA","Jail","panel","IGSA","Non-Dedicated"
394,"Wyatt Detention Center","WYATTRI","950 High Street","Central Falls","RI","02863","USMS IGA","Jail","panel","USMS IGA","Federal"
395,"Yakima County Department of Corrections","YIKIMWA","111 North Front Street","Yakima","WA","98901","USMS IGA","Jail","panel","USMS IGA","Federal"
396,"Yankton County Jail","YANCOSD","410 Walnut Street","Yankton","SD","57078","USMS IGA","Jail","panel","USMS IGA","Federal"
397,"York County Prison","YORCOPA","3400 Concord Road","York","PA","17402","IGSA","Jail","panel","IGSA","Non-Dedicated"
398,"Yuba County Jail","YUBAJCA","215 5th Street","Marysville","CA","95901","IGSA","Jail","panel","IGSA","Non-Dedicated"
1001,"Atlanta City Detention Center","ATLANGA","254 Peachtree Street Southwest","Atlanta","GA","30303","USMS IGA","Jail","dmcp_only","USMS IGA","Federal"
1002,"Folkston ICE Processing Center (D. Ray James)","JAMESGA","3423 Highway 252 East","Folkston","GA","31537","DIGSA","Dedicated Migrant Detention Center","dmcp_only","DIGSA","Dedicated"
1003,"Contra Costa County Jail West","CONWECA","5555 Giant Highway","Richmond","CA","94806","USMS IGA","Jail","dmcp_only","USMS IGA","Federal"
1004,"Rio Cosumnes Correctional. Center","RIOCCCA","12500 Bruceville Road","Elk Grove","CA","95757","IGSA","Jail","dmcp_only","IGSA","Non-Dedicated"
1005,"Otero County Prison Facility","OTROPNM","10 Mcgregor Range Road","Chaparral","NM","88081","USMS IGA","Jail","dmcp_only","USMS IGA","Federal"
1006,"York County Detention Center","YORCOSC","1675-3a York Hwy","York","SC","29745","USMS IGA","Jail","dmcp_only","USMS IGA","Federal"
1007,"Willacy County Regional Detention Facility","WCRDFTX","1601 Buffalo Drive","Raymondville","TX","78580","USMS IGA","Jail","dmcp_only","USMS IGA","Federal"
1008,"Ramsey County Adult Detention Center","RAADCMN","425 Grove Street","St. Paul","MN","55101","USMS IGA","Jail","dmcp_only","USMS IGA","Federal"
1009,"Dearborn Police Department","DEAPDMI","16099 Michigan Ave","Dearborn","MI","48126","IGSA","Jail","dmcp_only","IGSA","Non-Dedicated"
1010,"Wayne County Jail","WAYNENY","7368 State Route 31","Lyons","NY","14489","USMS IGA","Jail","dmcp_only","USMS IGA","Federal"
1011,"Hall County Jail","HALLJGA","1700 Barber Road","Gainesville","GA","30507","USMS IGA","Jail","dmcp_only","USMS IGA","Federal"
1012,"Mecklenburg County Detention Center North","MECKLNC","5234 Spector Drive","Charlotte","NC","28202","USMS IGA","Jail","dmcp_only","USMS IGA","Federal"
1013,"Alexandria City Jail","ALEXAVA","2003 Mill Road","Alexandria","VA","22314","USMS IGA","Jail","dmcp_only","USMS IGA","Federal"
1014,"Josephine County Jail","JOSEPOR","1901 Northeast F Street","Grants Pass","OR","97526","USMS IGA","Jail","dmcp_only","USMS IGA","Federal"
1015,"Rock Island County Correctional Center","ROCKIIL","1317 3rd Avenue","Rock Island","IL","61201","USMS IGA","Jail","dmcp_only","USMS IGA","Federal"
1016,"El Paso County Criminal Justice Center","ELPASCO","2739 East Las Vegas","Colorado Springs","CO","80906","IGSA","Jail","dmcp_only","IGSA","Non-Dedicated"
1017,"Elgin Police Department","ELGPDIL","151 Douglas Avenue","Elgin","IL","60120","IGSA","Jail","dmcp_only","IGSA","Non-Dedicated"
1018,"Moffat County Jail","MOFFECO","800 West 1st Street","Craig","CO","81625","IGSA","Jail","dmcp_only","IGSA","Non-Dedicated"
1019,"Orange County Intake Release Facility","OCIRCCA","550 North Flower Street","Santa Ana","CA","92703","IGSA","Jail","dmcp_only","IGSA","Non-Dedicated"
1020,"Kent County Jail","KENTCMI","701 Ball Avenue Northeast","Grand Rapids","MI","49503","IGSA","Jail","dmcp_only","IGSA","Non-Dedicated"
1021,"Glendale Police Department","GLEPDCA","131 North Isabel Street","Glendale","CA","91206","IGSA","Jail","dmcp_only","IGSA","Non-Dedicated"
1022,"Tom Green County Jail","TGREETX","122 West Harris Avenue","San Angelo","TX","76903","USMS IGA","Jail","dmcp_only","USMS IGA","Federal"
1023,"Yavapai County Detention Center","YAVCVAZ","2830 Commonwealth Dr #105","Camp Verde","AZ","86322","IGSA","Jail","dmcp_only","IGSA","Non-Dedicated"
1024,"Dale G. Haile Detention Center","HAILEID","1115 Albany","Caldwell","ID","83605","IGSA","Jail","dmcp_only","IGSA","Non-Dedicated"
1025,"Sangamon County Jail","SANJAIL","1 Sheriffs Plaza","Springfield","IL","62701","USMS IGA","Jail","dmcp_only","USMS IGA","Federal"
1026,"Prince William County Correctional Facility","PWILLVA","9320 Lee Avenue","Manassas","VA","20110","USMS IGA","Jail","dmcp_only","USMS IGA","Federal"
1027,"Fairfax County Adult Detention Center","FAICOVA","10520 Judicial Drive","Fairfax","VA","22030","USMS IGA","Jail","dmcp_only","USMS IGA","Federal"
1028,"Norfolk County Jail","NORFOMA","200 West Street","Dedham","MA","02026","USMS IGA","Jail","dmcp_only","USMS IGA","Federal"
1029,"Santa Cruz County Jail","SCRUZAZ","1250 North Hohokam Drive","Nogales","AZ","85621","USMS IGA","Jail","dmcp_only","USMS IGA","Federal"
1030,"Taylor County Adult Detention Facility","TAYLOTX","910 South 27th Street","Abilene","TX","79602","IGSA","Jail","dmcp_only","IGSA","Non-Dedicated"
1031,"Titus County Jail","TITUSTX","304 South Van Buren Avenue","Mt. Pleasant","TX","75455","USMS IGA","Jail","dmcp_only","USMS IGA","Federal"
1032,"Alhambra City Jail","ALHAMCA","211 S. First St.","Alhambra","CA","91801","USMS IGA","Jail","dmcp_only","USMS IGA","Federal"
1033,"Allegheny County Jail","ALLEGPA","950 Second Avenue","Pittsburgh","PA","15219","USMS IGA","Jail","dmcp_only","USMS IGA","Federal"
1034,"Apache County Jail","APACHAZ","370 South Washington St","St Johns","AZ","85936","USMS IGA","Jail","dmcp_only","USMS IGA","Federal"
1035,"Bedford Heights City Jail","BEDFOOH","5661 Perkins Road","Bedford Hts","OH","44146","IGSA","Jail","dmcp_only","IGSA","Non-Dedicated"
1036,"Coconino County Detention Facility","COCONAZ","952 E. Saw Mill Road","Flagstaff","AZ","86001","USMS IGA","Jail","dmcp_only","USMS IGA","Federal"
1037,"Eastern Regional Jail","WVEASTR","1406 Charles Town Road","Martinsburg","WV","25401","USMS IGA","Jail","dmcp_only","USMS IGA","Federal"
